metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
azure.vm.os_disk_write_bytes_sec,count,60,byte,second,"Bytes/Sec written to a single disk during monitoring period for OS disk",0,azure_vm,os_disk_write_bytes_sec,
azure.vm.outbound_flows,count,60,item,,"Outbound Flows are number of current flows in the outbound direction (traffic going out of the VM)",0,azure_vm,outbound_flows,
azure.vm.outbound_flows_maximum_creation_rate,count,60,item,second,"The maximum creation rate of outbound flows (traffic going out of the VM)",0,azure_vm,outbound_flows_maximum_creation_rate,
azure.vm.percentage_cpu,gauge,60,percent,,"The percentage of allocated compute units that are currently in use by the Virtual Machine(s)",0,azure_vm,percentage_cpu,
azure.vm.premium_data_disk_cache_read_hit,gauge,60,percent,,"Premium Data Disk Cache Read Hit",0,azure_vm,premium_data_disk_cache_read_hit,
azure.vm.premium_data_disk_cache_read_miss,gauge,60,percent,,"Premium Data Disk Cache Read Miss",0,azure_vm,premium_data_disk_cache_read_hit,
azure.vm.premium_os_disk_cache_read_hit,gauge,60,percent,,"Premium OS Disk Cache Read Hit",0,azure_vm,premium_os_disk_cache_read_hit,
azure.vm.premium_os_disk_cache_read_miss,gauge,60,percent,,"Premium OS Disk Cache Read Miss",0,azure_vm,premium_os_disk_cache_read_miss,
azure.vm.temp_disk_latency_preview,gauge,60,millisecond,,"Average time to complete each IO during monitoring period for Temp Disk. Values are in milliseconds",0,azure_vm,temp_disk_latency_preview,
azure.vm.temp_disk_queue_depth,count,60,,,"Temp Disk Queue Depth(or Queue Length)",0,azure_vm,temp_disk_queue_depth,
azure.vm.temp_disk_read_bytes_sec,count,60,byte,second,"Bytes/Sec read from a single disk during monitoring period for Temp Disk",0,azure_vm,temp_disk_read_bytes_sec,
azure.vm.temp_disk_read_operations_sec,count,60,operation,second,"Read IOPS from a single disk during monitoring period for Temp Disk",0,azure_vm,temp_disk_read_operations_sec,
azure.vm.temp_disk_write_bytes_sec,count,60,byte,second,"Bytes/Sec written to a single disk during monitoring period for Temp Disk",0,azure_vm,temp_disk_write_bytes_sec,
azure.vm.temp_disk_write_operations_sec,count,60,operation,second,"Write IOPS from a single disk during monitoring period for Temp Disk",0,azure_vm,temp_disk_write_operations_sec,
azure.vm.vm_cached_bandwidth_consumed_percentage,gauge,60,percent,,"Percentage of cached disk bandwidth consumed by the VM. Only available on VM series that support premium storage",0,azure_vm,vm_cached_bandwidth_consumed_percentage,
azure.vm.vm_cached_iops_consumed_percentage,gauge,60,percent,,"Percentage of cached disk IOPS consumed by the VM. Only available on VM series that support premium storage",0,azure_vm,vm_cached_iops_consumed_percentage,
azure.vm.vm_cached_used_burst_bps_credits_percentage,gauge,60,percent,,"Percentage of Cached Burst BPS Credits used by the VM",0,azure_vm,vm_cached_used_burst_bps_credits_percentage,
azure.vm.vm_cached_used_burst_io_credits_percentage,gauge,60,percent,,"Percentage of Cached Burst IO Credits used by the VM",0,azure_vm,vm_cached_used_burst_io_credits_percentage,
azure.vm.vm_uncached_used_burst_bps_credits_percentage,gauge,60,percent,,"Percentage of Uncached Burst BPS Credits used by the VM",0,azure_vm,vm_uncached_used_burst_bps_credits_percentage,
azure.vm.vm_uncached_used_burst_io_credits_percentage,gauge,60,percent,,"Percentage of Uncached Burst IO Credits used by the VM",0,azure_vm,vm_uncached_used_burst_io_credits_percentage,
azure.vm.vm_uncached_bandwidth_consumed_percentage,gauge,60,percent,,"Percentage of uncached disk bandwidth consumed by the VM. Only available on VM series that support premium storage",0,azure_vm,vm_uncached_bandwidth_consumed_percentage,
azure.vm.vm_uncached_iops_consumed_percentage,gauge,60,percent,,"Percentage of uncached disk IOPS consumed by the VM. Only available on VM series that support premium storage",0,azure_vm,vm_uncached_iops_consumed_percentage,
azure.vm.vm_availability_metric_preview,count,60,,,"Percentage of uncached disk IOPS consumed by the VM. Only available on VM series that support premium storage",0,azure_vm,vm_availability_metric_preview,
